Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
11,Caris LeVert,27,SG,19,10,567,12.4,.511,.289,.203,2.6,9.7,6.2,20.5,1.4,0.8,11.6,22.3,0.1,0.6,0.7,.057,-2.1,-1.1,-3.1,-0.2,,leverca01
12,Brandon Goodwin,26,PG,36,5,502,11.8,.501,.357,.247,3.1,11.4,7.4,26.0,2.5,0.2,17.4,18.2,0.1,0.7,0.7,.069,-2.6,1.1,-1.6,0.1,,goodwbr01
13,Dylan Windler,25,SF,50,0,459,8.8,.519,.714,.184,5.2,16.0,10.7,10.0,1.5,0.6,13.1,11.8,0.2,0.6,0.8,.084,-3.0,1.2,-1.7,0.0,,windldy01
14,Rajon Rondo,35,PG,21,1,408,13.9,.567,.552,.229,1.4,14.3,8.0,35.3,2.2,0.2,22.7,16.2,0.5,0.5,1.0,.119,-0.7,1.0,0.3,0.2,,rondora01
15,Collin Sexton,23,SG,11,11,316,11.2,.523,.298,.258,4.6,7.9,6.3,11.9,1.6,0.0,15.6,27.9,-0.4,0.3,-0.1,-0.009,-3.5,-0.7,-4.1,-0.2,,sextoco01
16,Denzel Valentine,28,SG,22,0,204,8.4,.516,.710,.000,5.0,15.4,10.3,7.6,1.7,0.0,13.9,15.6,-0.1,0.2,0.2,.045,-2.7,0.3,-2.4,0.0,,valende01
17,Ed Davis,32,C,31,3,201,9.3,.632,.000,.875,7.9,26.9,17.6,4.5,0.7,4.0,18.4,6.0,0.2,0.3,0.5,.126,-4.2,2.5,-1.8,0.0,,davised01
18,Moses Brown,22,C,14,5,176,21.4,.636,.000,.500,14.8,31.4,23.2,0.0,1.1,3.5,7.8,19.3,0.4,0.3,0.8,.207,-0.2,-1.7,-1.9,0.0,,brownmo01
19,Kevin Pangos,29,PG,24,3,166,6.5,.408,.565,.087,1.4,5.9,3.7,24.6,0.9,0.0,12.8,14.6,-0.1,0.1,0.1,.016,-4.7,-1.4,-6.1,-0.2,,pangoke01
20,RJ Nembhard Jr.,22,SG,14,0,63,8.0,.380,.111,.222,5.4,6.9,6.1,26.1,0.8,0.0,13.2,16.0,0.0,0.0,0.0,.010,-4.4,-1.5,-6.0,-0.1,,nembhrj01
21,Tacko Fall,26,C,11,1,59,11.3,.398,.000,.583,13.4,29.4,21.6,4.6,0.0,9.1,16.6,13.6,-0.1,0.1,0.1,.043,-4.1,0.8,-3.4,0.0,,fallta01
22,Justin Anderson,28,SF,3,0,47,10.7,.666,.750,.500,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,0.1,0.0,0.1,.124,-3.0,0.4,-2.6,0.0,,anderju01
23,Luke Kornet,26,C,2,0,15,8.7,.316,.200,.600,15.1,7.2,11.1,8.8,0.0,5.9,0.0,18.6,0.0,0.0,0.0,.008,-6.7,-3.2,-9.9,0.0,,kornelu01
24,Tre Scott,25,SF,2,0,11,20.4,.500,.167,.000,10.3,9.8,10.1,0.0,4.5,8.1,0.0,24.1,0.0,0.0,0.0,.138,-4.8,1.8,-3.0,0.0,,scotttr01
25,Malik Newman,24,PG,1,0,8,28.6,.680,.200,.400,0.0,13.5,6.9,27.8,0.0,0.0,14.5,38.1,0.0,0.0,0.0,.179,6.3,0.1,6.4,0.0,,newmama01
26,Tim Frazier,31,PG,2,0,8,-10.3,.500,.000,.000,0.0,0.0,0.0,17.9,0.0,0.0,50.0,22.1,-0.1,0.0,0.0,-0.283,-17.8,-5.8,-23.6,0.0,,fraziti01
